37,55,-13,-38,-23,42,-36,48,-68,75,-21,1,-32,-14,-15,
60,-21,49,-44,21,-37,33,-42,41,-23,24,-34,49,-18,-34,24
52,-23,42,-34,55,-13,-38,-23,42,-51,72,-23,35,~29,-31,33
60,-21,49,-44,21,-37,33,-42,49,-34,-15,41,-22,-14,-15,9
99,-47,-33,48,-39,56,-45,26,-37,42,-55,48,-34,51,~-61,19
23,48,~32,21,-41,58,-39,24,-33,45,-15,21,-61,43,-39,28
75,-36,21,-48,59,-44,36,-34,51,-22,24,-53,42,-34,41,48
39,26,-36,51,-62,67,-48,24,-27,43,-39,56,-75,43,-38,24
32,29,-34,47,-35,52,-63,45,14,es],-14,-15,56,-32,-19,14
58,-24,-15,28,23,-17,24,-69,57,-32,-24,61,-15,-26,32,61
