12,17,17,24,-30,19,23,-40,16,15,14,-33,-22,16,42,87,90
18,18,25,18,15,-41,-i1,24,13,14,-61,-10,17,33,-41,32,31
23,14,-13,46,-40,19,22,17,-24,-22,19,-30,28,18,14,61,91
36,-22,47,14,-61,19,26,13,-40,14,23,12,-30,-30,49,69,70
36,23,-47,28,19,13,16,-24,-22,14,14,-60,28,22,-40,70,20
14,54,19,-46,24,-11,-11,26,11,-20,-20,19,23,-41,Al,40,0
95,-32,-41,17,31,-40,19,16,-11,-22,16,14,14,-63,58,43,71
49,12,24,-41,16,-30,18,18,-21,-23,37,24,~-62,25,25,59,71
25,-12,45,13,19,-70,28,28,-12,-A1,V7,17,35,-41,-i1,40,40
13,14,34,16,-33,28,14,-22,-33,18,18,-31,-22,48,33,67,95
